team,total_losses,dangerous_windows,dangerous_rate,reaction_time,number_of_defenders_behind_the_ball_danger_start,number_of_defenders_behind_the_ball_danger_end,spread_danger_start,spread_danger_end,defensive_coverage_area_danger_start,defensive_coverage_area_danger_end,horizontal_compactness_danger_start,horizontal_compactness_danger_end,vertical_compactness_danger_start,vertical_compactness_danger_end
Southampton,593.0,370.0,0.62,1.79,9.37,8.97,13.2,12.56,503.03,463.45,24.43,22.11,30.98,29.11
Manchester United,667.0,420.0,0.63,1.63,10.05,9.58,13.58,13.39,554.78,530.12,25.94,24.26,32.09,31.26
Manchester City,801.0,515.0,0.64,1.75,10.24,9.89,12.51,12.36,474.74,461.3,23.07,21.65,30.64,29.99
Everton,642.0,399.0,0.62,1.95,9.85,9.57,13.49,13.02,562.26,526.65,25.55,23.53,32.12,30.9
West Ham United,640.0,418.0,0.65,1.59,9.97,9.79,13.48,13.2,558.08,542.2,25.66,24.41,31.71,30.86
Leicester City,620.0,410.0,0.66,2.05,9.19,8.89,12.87,12.61,489.04,469.79,24.92,23.32,29.29,28.42
Liverpool,730.0,474.0,0.65,1.85,10.68,10.5,13.35,13.22,536.66,532.13,25.47,24.13,31.72,31.11
Brentford,663.0,443.0,0.67,1.82,10.05,9.95,13.29,13.15,516.77,506.4,24.85,23.65,30.81,30.76
Arsenal,757.0,482.0,0.64,1.75,10.15,9.9,12.45,12.34,461.25,452.03,23.3,22.14,29.46,28.95
Wolverhampton Wanderers,606.0,402.0,0.66,1.9,9.95,9.42,13.55,13.06,542.66,500.95,25.45,23.22,32.03,30.35
Ipswich Town,562.0,352.0,0.63,1.74,9.25,9.09,13.01,12.59,502.95,494.54,24.24,22.37,30.36,29.34
Bournemouth,664.0,400.0,0.6,1.98,9.66,9.37,13.96,13.4,570.23,527.29,25.68,23.59,33.5,32.09
Aston Villa,625.0,395.0,0.63,1.77,9.89,9.55,13.43,13.14,558.48,535.68,25.27,23.57,32.5,30.98
Crystal Palace,599.0,384.0,0.64,1.85,9.48,9.2,13.17,12.81,527.97,503.24,25.28,23.82,29.7,29.36
Newcastle United,698.0,433.0,0.62,1.83,10.73,10.62,13.62,13.48,554.52,543.93,25.75,24.74,31.95,31.62
Chelsea,683.0,431.0,0.63,1.85,9.99,9.78,12.96,12.87,496.68,489.99,24.7,23.8,29.67,29.2
Tottenham Hotspur,692.0,409.0,0.59,1.67,10.12,9.84,13.44,13.07,535.93,507.2,26.08,24.29,30.45,29.91
Fulham,705.0,445.0,0.63,1.94,11.03,10.74,13.46,13.23,548.97,525.17,26.03,24.63,32.3,31.58
Nottingham Forest,573.0,362.0,0.63,1.94,9.91,9.82,13.62,13.27,549.18,529.16,25.66,24.29,32.52,32.06
Brighton and Hove Albion,721.0,480.0,0.67,1.57,10.05,9.84,13.11,12.9,517.46,502.03,25.62,24.2,30.13,29.6
