team_shortname,team_defenders_behind_start_avg,team_defenders_behind_end_avg,team_defenders_behind_start_zscore,team_defenders_behind_end_zscore,player_dist_from_centroid_start_avg,player_dist_from_centroid_end_avg,player_dist_from_centroid_start_zscore,player_dist_from_centroid_end_zscore,team_convex_hull_raw_start_avg,team_convex_hull_raw_end_avg,team_convex_hull_raw_start_zscore,team_convex_hull_raw_end_zscore,team_stretch_x_start_avg,team_stretch_x_end_avg,team_stretch_x_start_zscore,team_stretch_x_end_zscore,team_stretch_y_start_avg,team_stretch_y_end_avg,team_stretch_y_start_zscore,team_stretch_y_end_zscore,reaction_speed_start_avg,reaction_speed_end_avg,reaction_speed_start_zscore,reaction_speed_end_zscore
Southampton,7.85,7.86,-1.59,-1.81,11.89,12.45,-0.26,0.29,377.06,412.12,-0.54,-0.01,18.03,18.65,-0.14,0.5,27.68,27.73,0.24,0.04,1.79,1.79,-0.17,-0.17
Manchester United,8.34,8.4,0.06,0.11,12.2,12.61,0.82,0.92,413.68,432.33,1.12,1.02,18.37,18.88,0.44,0.9,27.65,27.83,0.2,0.19,1.63,1.63,-1.42,-1.42
Manchester City,8.59,8.64,0.9,0.95,11.31,11.83,-2.24,-2.12,345.18,373.8,-1.99,-1.97,16.5,16.92,-2.66,-2.51,26.75,27.18,-0.89,-0.77,1.75,1.75,-0.47,-0.47
Everton,8.05,8.07,-0.93,-1.07,12.29,12.52,1.12,0.58,421.91,427.69,1.5,0.78,18.43,17.96,0.53,-0.71,27.89,27.61,0.49,-0.13,1.95,1.95,1.08,1.08
West Ham United,8.37,8.37,0.16,0.01,12.11,12.54,0.5,0.62,392.14,426.28,0.14,0.71,18.09,18.79,-0.03,0.73,27.61,27.47,0.15,-0.34,1.59,1.59,-1.77,-1.77
Leicester City,7.91,7.97,-1.37,-1.42,11.85,12.41,-0.39,0.14,380.51,416.79,-0.39,0.23,18.78,19.18,1.11,1.42,27.03,27.27,-0.55,-0.65,2.05,2.05,1.88,1.88
Liverpool,8.55,8.57,0.73,0.7,11.98,12.43,0.05,0.21,389.77,421.54,0.03,0.47,18.21,18.33,0.18,-0.07,27.38,27.34,-0.13,-0.53,1.85,1.85,0.29,0.29
Brentford,8.3,8.4,-0.08,0.08,11.97,12.41,0.02,0.15,380.5,405.57,-0.39,-0.35,17.98,18.03,-0.21,-0.59,27.3,27.92,-0.23,0.31,1.82,1.82,0.08,0.08
Arsenal,8.68,8.71,1.19,1.18,11.24,11.8,-2.47,-2.25,333.5,364.17,-2.53,-2.46,16.51,17.06,-2.65,-2.27,26.04,26.82,-1.73,-1.31,1.75,1.75,-0.46,-0.46
Wolverhampton Wanderers,8.39,8.42,0.2,0.16,12.15,12.51,0.65,0.54,401.28,418.96,0.56,0.34,18.58,18.73,0.79,0.64,28.6,28.78,1.34,1.58,1.9,1.9,0.72,0.72
Ipswich Town,7.86,7.96,-1.56,-1.42,11.99,12.42,0.08,0.17,395.97,420.55,0.32,0.42,18.06,18.22,-0.07,-0.25,27.36,27.19,-0.15,-0.76,1.74,1.74,-0.58,-0.58
Bournemouth,8.11,8.19,-0.73,-0.63,12.41,12.64,1.52,1.02,412.76,430.63,1.08,0.93,18.41,18.34,0.5,-0.04,28.97,29.01,1.78,1.93,1.98,1.98,1.29,1.29
Aston Villa,8.25,8.27,-0.24,-0.36,12.11,12.58,0.51,0.82,419.06,444.04,1.37,1.62,18.83,19,1.2,1.11,28.81,28.58,1.58,1.3,1.77,1.77,-0.31,-0.31
Crystal Palace,8.04,8.15,-0.96,-0.77,11.9,12.21,-0.21,-0.65,401.94,407.96,0.59,-0.22,18.63,18.9,0.87,0.93,26.77,27.79,-0.86,0.12,1.85,1.85,0.31,0.31
Newcastle United,8.78,8.82,1.53,1.54,12.22,12.75,0.87,1.46,402.9,435,0.63,1.16,18.41,18.79,0.51,0.73,27.65,27.72,0.2,0.02,1.83,1.83,0.17,0.17
Chelsea,8.62,8.68,0.99,1.06,11.66,12.07,-1.05,-1.2,376.48,400.57,-0.57,-0.6,17.71,18.16,-0.65,-0.36,26.09,26.59,-1.67,-1.64,1.85,1.85,0.3,0.3
Tottenham Hotspur,8.31,8.33,-0.05,-0.15,11.94,12.3,-0.08,-0.3,375.74,402.07,-0.6,-0.52,18.08,18.32,-0.05,-0.08,26.74,27.13,-0.9,-0.86,1.67,1.67,-1.09,-1.09
Fulham,8.93,8.93,2.01,1.94,12.02,12.27,0.21,-0.39,392.31,404.45,0.15,-0.4,18.29,18.52,0.3,0.27,28.27,28.45,0.94,1.09,1.94,1.94,1.05,1.05
Nottingham Forest,8.13,8.25,-0.66,-0.43,12.27,12.66,1.04,1.1,394.8,414.77,0.26,0.12,18.33,18.61,0.37,0.43,28.53,28.74,1.25,1.53,1.94,1.94,0.97,0.97
Brighton and Hove Albion,8.45,8.47,0.4,0.33,11.76,12.09,-0.69,-1.11,372.78,387.87,-0.74,-1.25,17.91,17.91,-0.33,-0.79,26.59,26.95,-1.07,-1.12,1.57,1.57,-1.88,-1.88
