team_id,Team_x,team_convex_hull_raw_avg_x,team_convex_hull_raw_zscore_x,team_defenders_behind_avg_x,team_defenders_behind_zscore_x,player_dist_from_centroid_avg_x,player_dist_from_centroid_zscore_x,team_stretch_x_avg_x,team_stretch_x_zscore_x,team_stretch_y_avg_x,team_stretch_y_zscore_x,Team_y,team_convex_hull_raw_avg_y,team_convex_hull_raw_zscore_y,team_defenders_behind_avg_y,team_defenders_behind_zscore_y,player_dist_from_centroid_avg_y,player_dist_from_centroid_zscore_y,team_stretch_x_avg_y,team_stretch_x_zscore_y,team_stretch_y_avg_y,team_stretch_y_zscore_y,team_shortname,avg_onball_threat,avg_support_threat,avg_reaction_speed,avg_distance,z_avg_onball_threat,z_avg_support_threat,z_avg_reaction_speed,z_avg_distance,num_matches
3,Arsenal,96.17,-0.47,2.75,0.69,10.76,1,4.45,-0.74,23.54,0.81,Arsenal,96.17,-0.47,2.75,0.69,10.76,1,4.45,-0.74,23.54,0.81,Arsenal,0.012,0.004,1.755,88.231,-0.295,-0.081,-0.166,0.572,38
39,Aston Villa,92.29,-1.02,2.51,-1.06,9.57,-1.45,4.46,-0.73,20.61,-1.25,Aston Villa,92.29,-1.02,2.51,-1.06,9.57,-1.45,4.46,-0.73,20.61,-1.25,Aston Villa,0.017,0.005,1.902,87.609,0.116,0.074,0.121,0.26,38
63,Bournemouth,101.88,0.32,2.66,0.04,9.79,-1.01,4.82,0.56,20.96,-1,Bournemouth,101.88,0.32,2.66,0.04,9.79,-1.01,4.82,0.56,20.96,-1,Bournemouth,0.021,0.006,2,87.465,0.349,0.397,0.313,0.188,36
754,Brentford,100.02,0.06,3.02,2.72,10.32,0.1,5.03,1.32,23.7,0.92,Brentford,100.02,0.06,3.02,2.72,10.32,0.1,5.03,1.32,23.7,0.92,Brentford FC,0.018,0.005,1.848,86.67,0.137,-0.002,0.015,-0.21,38
308,Brighton and Hove Albion,91.89,-1.07,2.74,0.61,10.18,-0.2,4.32,-1.23,22.77,0.26,Brighton and Hove Albion,91.89,-1.07,2.74,0.61,10.18,-0.2,4.32,-1.23,22.77,0.26,Brighton,0.015,0.005,1.577,87.075,-0.09,-0.007,-0.513,-0.007,38
49,Chelsea,105.43,0.82,2.79,1.03,10.69,0.85,5.15,1.75,25.17,1.94,Chelsea,105.43,0.82,2.79,1.03,10.69,0.85,5.15,1.75,25.17,1.94,Chelsea,0.016,0.004,1.871,86.588,0.025,-0.105,0.061,-0.251,38
60,Crystal Palace,93.77,-0.81,2.65,-0.03,9.2,-2.22,4.77,0.41,20.58,-1.27,Crystal Palace,93.77,-0.81,2.65,-0.03,9.2,-2.22,4.77,0.41,20.58,-1.27,Crystal Palace,0.015,0.005,1.926,86.387,-0.051,-0.01,0.168,-0.351,38
41,Everton,82.95,-2.32,2.41,-1.79,9.53,-1.54,4.26,-1.45,19.29,-2.16,Everton,82.95,-2.32,2.41,-1.79,9.53,-1.54,4.26,-1.45,19.29,-2.16,Everton,0.016,0.006,1.977,86.28,0.002,0.303,0.268,-0.405,38
48,Fulham,96.11,-0.48,2.44,-1.62,11.1,1.69,4.24,-1.49,24.07,1.17,Fulham,96.11,-0.48,2.44,-1.62,11.1,1.69,4.24,-1.49,24.07,1.17,Fulham,0.016,0.004,2.034,87.042,-0.011,-0.052,0.379,-0.024,38
752,Ipswich Town,108.62,1.27,2.74,0.61,10.17,-0.22,5.03,1.33,21.38,-0.7,Ipswich Town,108.62,1.27,2.74,0.61,10.17,-0.22,5.03,1.33,21.38,-0.7,Ipswich Town,0.013,0.004,1.748,86.813,-0.169,-0.193,-0.18,-0.138,38
62,Leicester City,106.34,0.95,2.63,-0.19,10.54,0.54,5,1.21,22.2,-0.14,Leicester City,106.34,0.95,2.63,-0.19,10.54,0.54,5,1.21,22.2,-0.14,Leicester,0.015,0.004,2.022,87.308,-0.034,-0.089,0.356,0.11,38
2,Liverpool,102.41,0.4,2.79,0.98,10.72,0.92,4.65,-0.02,24.03,1.14,Liverpool,102.41,0.4,2.79,0.98,10.72,0.92,4.65,-0.02,24.03,1.14,Liverpool,0.02,0.005,1.866,86.565,0.3,0.089,0.05,-0.262,38
40,Manchester City,103.37,0.53,2.7,0.32,10.44,0.34,4.37,-1.05,22.97,0.41,Manchester City,103.37,0.53,2.7,0.32,10.44,0.34,4.37,-1.05,22.97,0.41,Manchester City,0.014,0.003,1.754,87.594,-0.146,-0.24,-0.168,0.253,38
31,Manchester United,111.04,1.61,2.67,0.1,10.74,0.95,4.93,0.97,23.64,0.87,Manchester United,111.04,1.61,2.67,0.1,10.74,0.95,4.93,0.97,23.64,0.87,Manchester U,0.014,0.004,1.704,87.178,-0.111,-0.118,-0.266,0.044,38
32,Newcastle United,103.92,0.61,2.58,-0.55,10.67,0.82,4.54,-0.42,22.59,0.14,Newcastle United,103.92,0.61,2.58,-0.55,10.67,0.82,4.54,-0.42,22.59,0.14,Newcastle,0.019,0.007,1.787,87.676,0.259,0.427,-0.103,0.294,38
747,Nottingham Forest,106.45,0.96,2.58,-0.59,10.58,0.63,4.93,0.98,22.14,-0.17,Nottingham Forest,106.45,0.96,2.58,-0.59,10.58,0.63,4.93,0.98,22.14,-0.17,Nottingham,0.016,0.005,1.938,87.084,0.039,0.12,0.191,-0.002,37
58,Southampton,108.04,1.19,2.71,0.38,10.01,-0.55,4.79,0.45,21.65,-0.52,Southampton,108.04,1.19,2.71,0.38,10.01,-0.55,4.79,0.45,21.65,-0.52,Southampton,0.01,0.003,1.805,87.096,-0.414,-0.375,-0.068,0.003,38
44,Tottenham Hotspur,95.42,-0.58,2.63,-0.18,10.6,0.66,4.46,-0.73,23.48,0.76,Tottenham Hotspur,95.42,-0.58,2.63,-0.18,10.6,0.66,4.46,-0.73,23.48,0.76,Tottenham,0.015,0.005,1.817,87.491,-0.074,0.032,-0.046,0.201,38
37,West Ham United,91.68,-1.1,2.61,-0.3,9.91,-0.77,4.49,-0.6,21.31,-0.75,West Ham United,91.68,-1.1,2.61,-0.3,9.91,-0.77,4.49,-0.6,21.31,-0.75,West Ham,0.016,0.004,1.679,86.505,0.028,-0.137,-0.315,-0.292,38
52,Wolverhampton Wanderers,93.44,-0.86,2.5,-1.17,10.01,-0.55,4.52,-0.51,21.71,-0.48,Wolverhampton Wanderers,93.44,-0.86,2.5,-1.17,10.01,-0.55,4.52,-0.51,21.71,-0.48,Wolverhampton,0.018,0.005,1.801,87.143,0.155,-0.008,-0.076,0.027,37
